date,value
1987-01-31,100.0
1987-02-28,100.4
1987-03-28,100.6
1987-04-30,101.8
1987-05-30,101.9
1987-06-30,101.9
1987-07-30,101.8
1987-08-31,102.1
1987-09-30,102.4
1987-10-30,102.9
1987-11-30,103.4
1987-12-30,103.3
1988-01-31,103.3
1988-02-29,103.7
1988-03-29,104.1
1988-04-30,105.8
1988-05-30,106.2
1988-06-30,106.6
1988-07-30,106.7
1988-08-31,107.9
1988-09-30,108.4
1988-10-30,109.5
1988-11-30,110.0
1988-12-30,110.3
1989-01-31,111.0
1989-02-28,111.8
1989-03-28,112.3
1989-04-30,114.3
1989-05-30,115.0
1989-06-30,115.4
1989-07-30,115.5
1989-08-31,115.8
1989-09-30,116.6
1989-10-30,117.5
1989-11-30,118.5
1989-12-30,118.8
1990-01-31,119.5
1990-02-28,120.2
1990-03-28,121.4
1990-04-30,125.1
1990-05-30,126.2
1990-06-30,126.7
1990-07-30,126.8
1990-08-31,128.1
1990-09-30,129.3
1990-10-30,130.3
1990-11-30,130.0
1990-12-30,129.9
1991-01-31,130.2
1991-02-28,130.9
1991-03-28,131.4
1991-04-30,133.1
1991-05-30,133.5
1991-06-30,134.1
1991-07-30,133.8
1991-08-31,134.1
1991-09-30,134.6
1991-10-30,135.1
1991-11-30,135.6
1991-12-30,135.7
1992-01-31,135.6
1992-02-29,136.3
1992-03-29,136.7
1992-04-30,138.8
1992-05-30,139.3
1992-06-30,139.3
1992-07-30,138.8
1992-08-31,138.9
1992-09-30,139.4
1992-10-30,139.9
1992-11-30,139.7
1992-12-30,139.2
1993-01-31,137.9
1993-02-28,138.8
1993-03-28,139.3
1993-04-30,140.6
1993-05-30,141.1
1993-06-30,141.0
1993-07-30,140.7
1993-08-31,141.3
1993-09-30,141.9
1993-10-30,141.8
1993-11-30,141.6
1993-12-30,141.9
1994-01-31,141.3
1994-02-28,142.1
1994-03-28,142.5
1994-04-30,144.2
1994-05-30,144.7
1994-06-30,144.7
1994-07-30,144.0
1994-08-31,144.7
1994-09-30,145.0
1994-10-30,145.2
1994-11-30,145.3
1994-12-30,146.0
1995-01-31,146.0
1995-02-28,146.9
1995-03-28,147.5
1995-04-30,149.0
1995-05-30,149.6
1995-06-30,149.8
1995-07-30,149.1
1995-08-31,149.9
1995-09-30,150.6
1995-10-30,149.8
1995-11-30,149.8
1995-12-30,150.7
1996-01-31,150.2
1996-02-29,150.9
1996-03-29,151.5
1996-04-30,152.6
1996-05-30,152.9
1996-06-30,153.0
1996-07-30,152.4
1996-08-31,153.1
1996-09-30,153.8
1996-10-30,153.8
1996-11-30,153.9
1996-12-30,154.4
1997-01-31,154.4
1997-02-28,155.0
1997-03-28,155.4
1997-04-30,156.3
1997-05-30,156.9
1997-06-30,157.5
1997-07-30,157.5
1997-08-31,158.5
1997-09-30,159.3
1997-10-30,159.5
1997-11-30,159.6
1997-12-30,160.0
1998-01-31,159.5
1998-02-28,160.3
1998-03-28,160.8
1998-04-30,162.6
1998-05-30,163.5
1998-06-30,163.4
1998-07-30,163.0
1998-08-31,163.7
1998-09-30,164.4
1998-10-30,164.5
1998-11-30,164.4
1998-12-30,164.4
1999-01-31,163.4
1999-02-28,163.7
1999-03-28,164.1
1999-04-30,165.2
1999-05-30,165.6
1999-06-30,165.6
1999-07-30,165.1
1999-08-31,165.5
1999-09-30,166.2
1999-10-30,166.5
1999-11-30,166.7
1999-12-30,167.3
2000-01-31,166.6
2000-02-29,167.5
2000-03-29,168.4
2000-04-30,170.1
2000-05-30,170.7
2000-06-30,171.1
2000-07-30,170.5
2000-08-31,170.5
2000-09-30,171.7
2000-10-30,171.6
2000-11-30,172.1
2000-12-30,172.2
2001-01-31,171.1
2001-02-28,172.0
2001-03-28,172.2
2001-04-30,173.1
2001-05-30,174.2
2001-06-30,174.4
2001-07-30,173.3
2001-08-31,174.0
2001-09-30,174.6
2001-10-30,174.3
2001-11-30,173.6
2001-12-30,173.4
2002-01-31,173.3
2002-02-28,173.8
2002-03-28,174.5
2002-04-30,175.7
2002-05-30,176.2
2002-06-30,176.2
2002-07-30,175.9
2002-08-31,176.4
2002-09-30,177.6
2002-10-30,177.9
2002-11-30,178.2
2002-12-30,178.5
2003-01-31,178.4
2003-02-28,179.3
2003-03-28,179.9
2003-04-30,181.2
2003-05-30,181.5
2003-06-30,181.3
2003-07-30,181.3
2003-08-31,181.6
2003-09-30,182.5
2003-10-30,182.6
2003-11-30,182.7
2003-12-30,183.5
2004-01-31,183.1
2004-02-29,183.8
2004-03-29,184.6
2004-04-30,185.7
2004-05-30,186.5
2004-06-30,186.8
2004-07-30,186.8
2004-08-31,187.4
2004-09-30,188.1
2004-10-30,188.6
2004-11-30,189.0
2004-12-30,189.9
2005-01-31,188.9
2005-02-28,189.6
2005-03-28,190.5
2005-04-30,191.6
2005-05-30,192.0
2005-06-30,192.2
2005-07-30,192.2
2005-08-31,192.6
2005-09-30,193.1
2005-10-30,193.3
2005-11-30,193.6
2005-12-30,194.1
2006-01-31,193.4
2006-02-28,194.2
2006-03-28,195.0
2006-04-30,196.5
2006-05-30,197.7
2006-06-30,198.5
2006-07-30,198.5
2006-08-31,199.2
2006-09-30,200.1
2006-10-30,200.4
2006-11-30,201.1
2006-12-30,202.7
2007-01-31,201.6
2007-02-28,203.1
2007-03-28,204.4
2007-04-30,205.4
2007-05-30,206.2
2007-06-30,207.3
2007-07-30,206.1
2007-08-31,207.3
2007-09-30,208.0
2007-10-30,208.9
2007-11-30,209.7
2007-12-30,210.9
2008-01-31,209.8
2008-02-29,211.4
2008-03-29,212.1
2008-04-30,214.0
2008-05-30,215.1
2008-06-30,216.8
2008-07-30,216.5
2008-08-31,217.2
2008-09-30,218.4
2008-10-30,217.7
2008-11-30,216.0
2008-12-30,212.9
2009-01-31,210.1
2009-02-28,211.4
2009-03-28,211.3
2009-04-30,211.5
2009-05-30,212.8
2009-06-30,213.4
2009-07-30,213.4
2009-08-31,214.4
2009-09-30,215.3
2009-10-30,216.0
2009-11-30,216.6
2009-12-30,218.0
2010-01-31,217.9
2010-02-28,219.2
2010-03-28,220.7
2010-04-30,222.8
2010-05-30,223.6
2010-06-30,224.1
2010-07-30,223.6
2010-08-31,224.5
2010-09-30,225.3
2010-10-30,225.8
2010-11-30,226.8
2010-12-30,228.4
2011-01-31,229.0
2011-02-28,231.3
2011-03-28,232.5
2011-04-30,234.4
2011-05-30,235.2
2011-06-30,235.2
2011-07-30,234.7
2011-08-31,236.1
2011-09-30,237.9
2011-10-30,238.0
2011-11-30,238.5
2011-12-30,239.4
2012-01-31,238.0
2012-02-29,239.9
2012-03-29,240.8
2012-04-30,242.5
2012-05-30,242.4
2012-06-30,241.8
2012-07-30,242.1
2012-08-31,243.0
2012-09-30,244.2
2012-10-30,245.6
2012-11-30,245.6
2012-12-30,246.8
2013-01-31,245.8
2013-02-28,247.6
2013-03-28,248.7
2013-04-30,249.5
2013-05-30,250.0
2013-06-30,249.7
2013-07-30,249.7
2013-08-31,251.0
2013-09-30,251.9
2013-10-30,251.9
2013-11-30,252.1
2013-12-30,253.4
2014-01-31,252.6
2014-02-28,254.2
2014-03-28,254.8
2014-04-30,255.7
2014-05-30,255.9
2014-06-30,256.3
2014-07-30,256.0
2014-08-31,257.0
2014-09-30,257.6
2014-10-30,257.7
2014-11-30,257.1
2014-12-30,257.5
2015-01-31,255.4
2015-02-28,256.7
2015-03-28,257.1
2015-04-30,258.0
2015-05-30,258.5
2015-06-30,258.9
2015-07-30,258.6
2015-08-31,259.8
2015-09-30,259.6
2015-10-30,259.5
2015-11-30,259.8
2015-12-30,260.6
2016-01-31,258.8
2016-02-29,260.0
2016-03-29,261.1
2016-04-30,261.4
2016-05-30,262.1
2016-06-30,263.1
2016-07-30,263.4
2016-08-31,264.4
2016-09-30,264.9
2016-10-30,264.8
2016-11-30,265.5
2016-12-30,267.1
2017-01-31,265.5
2017-02-28,268.4
2017-03-28,269.3
2017-04-30,270.6
2017-05-30,271.7
2017-06-30,272.3
2017-07-30,272.9
2017-08-31,274.7
2017-09-30,275.1
2017-10-30,275.3
2017-11-30,275.8
2017-12-30,278.1
2018-01-31,276.0
2018-02-28,278.1
2018-03-28,278.3
2018-04-30,279.7
2018-05-30,280.7
2018-06-30,281.5
2018-07-30,281.7
2018-08-31,284.2
2018-09-30,284.1
2018-10-30,284.5
2018-11-30,284.6
2018-12-30,285.6
2019-01-31,283.0
2019-02-28,285.0
2019-03-28,285.1
2019-04-30,288.2
2019-05-30,289.2
2019-06-30,289.6
2019-07-30,289.5
2019-08-31,291.7
2019-09-30,291.0
2019-10-30,290.4
2019-11-30,291.0
2019-12-30,291.9
2020-01-31,290.6
2020-02-29,292.0
2020-03-29,292.6
2020-04-30,292.6
2020-05-30,292.2
2020-06-30,292.7
2020-07-30,294.2
2020-08-31,293.3
2020-09-30,294.3
2020-10-30,294.3
2020-11-30,293.5
2020-12-30,295.4
2021-01-31,294.6
2021-02-28,296.0
2021-03-28,296.9
2021-04-30,301.1
2021-05-30,301.9
2021-06-30,304.0
2021-07-30,305.5
2021-08-31,307.4
2021-09-30,308.6
2021-10-30,312.0
2021-11-30,314.3
2021-12-30,317.7
2022-01-31,317.7
2022-02-28,320.2
2022-03-28,323.5
2022-04-30,334.6
2022-05-30,337.1
2022-06-30,340.0
2022-07-30,343.2
2022-08-31,345.2
2022-09-30,347.6
2022-10-30,356.2
2022-11-30,358.3
2022-12-30,360.4
2023-01-31,360.3
2023-02-28,364.5
2023-03-28,367.2
2023-04-30,372.8
2023-05-30,375.3
2023-06-30,376.4
2023-07-30,374.2
2023-08-31,376.6
2023-09-30,378.4
2023-10-30,377.8
2023-11-30,377.3
2023-12-30,379.0
2024-01-31,378.0
2024-02-29,381.0
2024-03-29,383.0
2024-04-30,385.0
2024-05-30,386.4
2024-06-30,387.3
2024-07-30,387.5
2024-08-31,389.9
2024-09-30,388.6
2024-10-30,390.7
2024-11-30,390.9
2024-12-30,392.1
2025-01-31,391.7
